timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T11:03:32.401447,BTC/USD,HOLD,73892.0,0,,,,SVM prediction based on SMA features,"{'sma3': 74228.67666666667, 'sma10': 71675.72099999999, 'momentum': -0.00023488229366348974, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:03:42.724624,BTC/USD,HOLD,73885.74,0,,,,SVM prediction based on SMA features,"{'sma3': 74226.59000000001, 'sma10': 71675.095, 'momentum': -0.00031958063227709377, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:03:52.945252,BTC/USD,HOLD,73894.45,0,,,,SVM prediction based on SMA features,"{'sma3': 74229.49333333333, 'sma10': 71675.96599999999, 'momentum': -0.0002017335828642474, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:04:03.187136,BTC/USD,HOLD,73862.43,0,,,,SVM prediction based on SMA features,"{'sma3': 74218.82333333333, 'sma10': 71672.76499999998, 'momentum': -0.0006348316370213225, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:04:13.467447,BTC/USD,HOLD,73845.63,0,,,,SVM prediction based on SMA features,"{'sma3': 74213.22, 'sma10': 71671.084, 'momentum': -0.0008622723833624852, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:04:23.742666,BTC/USD,HOLD,73845.64,0,,,,SVM prediction based on SMA features,"{'sma3': 74213.22, 'sma10': 71671.084, 'momentum': -0.0008622723833624852, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:04:33.978568,BTC/USD,HOLD,73817.07,0,,,,SVM prediction based on SMA features,"{'sma3': 74201.70333333332, 'sma10': 71667.62899999999, 'momentum': -0.0013297368560625993, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:04:44.259954,BTC/USD,HOLD,73818.08,0,,,,SVM prediction based on SMA features,"{'sma3': 74204.03666666667, 'sma10': 71668.329, 'momentum': -0.0012350262537789373, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:04:54.526662,BTC/USD,HOLD,73828.02,0,,,,SVM prediction based on SMA features,"{'sma3': 74207.35333333333, 'sma10': 71669.324, 'momentum': -0.0011004018976757714, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:05:04.812337,BTC/USD,HOLD,73834.72,0,,,,SVM prediction based on SMA features,"{'sma3': 74209.58333333333, 'sma10': 71669.99299999999, 'momentum': -0.00100988562206464, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
